in s,C1 in V,C2 in V
-1.600000E-04,5.48289E-01,1.69391E-02
-1.599968E-04,5.50244E-01,1.67925E-02
-1.599936E-04,5.50244E-01,1.63526E-02
-1.599904E-04,5.52199E-01,1.66459E-02
-1.599872E-04,5.52199E-01,1.67925E-02
-1.599840E-04,5.44379E-01,1.64992E-02
-1.599808E-04,5.44379E-01,1.66459E-02
-1.599776E-04,5.42424E-01,1.69880E-02
-1.599744E-04,5.42424E-01,1.65970E-02
-1.599712E-04,5.44379E-01,1.64504E-02
-1.599680E-04,5.44379E-01,1.68414E-02
-1.599648E-04,5.52199E-01,1.67925E-02
-1.599616E-04,5.50244E-01,1.64992E-02
-1.599584E-04,5.52199E-01,1.69391E-02
-1.599552E-04,5.50244E-01,1.68414E-02
-1.599520E-04,5.56109E-01,1.70369E-02
-1.599488E-04,5.54154E-01,1.68414E-02
-1.599456E-04,5.50244E-01,1.71346E-02
-1.599424E-04,5.54154E-01,1.71346E-02
-1.599392E-04,5.50244E-01,1.72324E-02
-1.599360E-04,5.52199E-01,1.69880E-02
-1.599328E-04,5.56109E-01,1.71835E-02
-1.599296E-04,5.56109E-01,1.71835E-02
-1.599264E-04,5.58064E-01,1.68902E-02
-1.599232E-04,5.54154E-01,1.69880E-02
-1.599200E-04,5.60019E-01,1.71346E-02
-1.599168E-04,5.54154E-01,1.69880E-02
-1.599136E-04,5.58064E-01,1.67925E-02
-1.599104E-04,5.54154E-01,1.66947E-02
-1.599072E-04,5.56109E-01,1.70857E-02
-1.599040E-04,5.54154E-01,1.71835E-02
-1.599008E-04,5.56109E-01,1.68414E-02
-1.598976E-04,5.56109E-01,1.71346E-02
-1.598944E-04,5.56109E-01,1.73301E-02
-1.598912E-04,5.52199E-01,1.68902E-02
-1.598880E-04,5.63929E-01,1.70369E-02
-1.598848E-04,5.60019E-01,1.74279E-02
-1.598816E-04,5.56109E-01,1.72812E-02
-1.598784E-04,5.50244E-01,1.69880E-02
-1.598752E-04,5.56109E-01,1.75256E-02
-1.598720E-04,5.54154E-01,1.71835E-02
-1.598688E-04,5.54154E-01,1.67925E-02
-1.598656E-04,5.56109E-01,1.71835E-02
-1.598624E-04,5.61974E-01,1.73790E-02
-1.598592E-04,5.56109E-01,1.69880E-02
-1.598560E-04,5.58064E-01,1.69880E-02
-1.598528E-04,5.61974E-01,1.75256E-02
-1.598496E-04,5.60019E-01,1.72324E-02
-1.598464E-04,5.58064E-01,1.67925E-02
-1.598432E-04,5.56109E-01,1.73790E-02
-1.598400E-04,5.58064E-01,1.73790E-02
-1.598368E-04,5.58064E-01,1.69391E-02
-1.598336E-04,5.58064E-01,1.71346E-02
-1.598304E-04,5.60019E-01,1.74279E-02
-1.598272E-04,5.58064E-01,1.68414E-02
-1.598240E-04,5.58064E-01,1.67925E-02
-1.598208E-04,5.58064E-01,1.74767E-02
-1.598176E-04,5.60019E-01,1.71346E-02
-1.598144E-04,5.54154E-01,1.66459E-02
-1.598112E-04,5.60019E-01,1.73301E-02
-1.598080E-04,5.60019E-01,1.72324E-02
-1.598048E-04,5.63929E-01,1.66459E-02
-1.598016E-04,5.60019E-01,1.72812E-02
-1.597984E-04,5.67839E-01,1.73301E-02
-1.597952E-04,5.61974E-01,1.68902E-02
-1.597920E-04,5.61974E-01,1.70369E-02
-1.597888E-04,5.61974E-01,1.74279E-02
-1.597856E-04,5.67839E-01,1.69880E-02
-1.597824E-04,5.61974E-01,1.69880E-02
-1.597792E-04,5.61974E-01,1.73301E-02
-1.597760E-04,5.69794E-01,1.71346E-02
-1.597728E-04,5.65884E-01,1.70369E-02
-1.597696E-04,5.61974E-01,1.71346E-02
-1.597664E-04,5.67839E-01,1.70369E-02
-1.597632E-04,5.67839E-01,1.72324E-02
-1.597600E-04,5.61974E-01,1.71346E-02
-1.597568E-04,5.58064E-01,1.69880E-02
-1.597536E-04,5.67839E-01,1.73301E-02
-1.597504E-04,5.63929E-01,1.68902E-02
-1.597472E-04,5.69794E-01,1.68902E-02
-1.597440E-04,5.65884E-01,1.72324E-02
-1.597408E-04,5.69794E-01,1.70857E-02
-1.597376E-04,5.65884E-01,1.69391E-02
-1.597344E-04,5.65884E-01,1.71835E-02
-1.597312E-04,5.69794E-01,1.66947E-02
-1.597280E-04,5.71749E-01,1.69880E-02
-1.597248E-04,5.69794E-01,1.76234E-02
-1.597216E-04,5.69794E-01,1.70857E-02
-1.597184E-04,5.69794E-01,1.63526E-02
-1.597152E-04,5.69794E-01,1.77211E-02
-1.597120E-04,5.67839E-01,1.74279E-02
-1.597088E-04,5.69794E-01,1.67436E-02
-1.597056E-04,5.65884E-01,1.73790E-02
-1.597024E-04,5.67839E-01,1.75256E-02
-1.596992E-04,5.63929E-01,1.70857E-02
-1.596960E-04,5.69794E-01,1.77211E-02
-1.596928E-04,5.73704E-01,1.76234E-02
-1.596896E-04,5.75659E-01,1.68902E-02
-1.596864E-04,5.77614E-01,1.74279E-02
-1.596832E-04,5.75659E-01,1.77211E-02
-1.596800E-04,5.71749E-01,1.71835E-02
-1.596768E-04,5.73704E-01,1.72324E-02
-1.596736E-04,5.69794E-01,1.75745E-02
-1.596704E-04,5.73704E-01,1.72324E-02
-1.596672E-04,5.69794E-01,1.73790E-02
-1.596640E-04,5.73704E-01,1.73790E-02
-1.596608E-04,5.75659E-01,1.74279E-02
-1.596576E-04,5.69794E-01,1.77700E-02
-1.596544E-04,5.75659E-01,1.72324E-02
-1.596512E-04,5.75659E-01,1.73301E-02
-1.596480E-04,5.73704E-01,1.75745E-02
-1.596448E-04,5.73704E-01,1.68902E-02
-1.596416E-04,5.73704E-01,1.71346E-02
-1.596384E-04,5.77614E-01,1.77211E-02
-1.596352E-04,5.71749E-01,1.67925E-02
-1.596320E-04,5.75659E-01,1.65970E-02
-1.596288E-04,5.75659E-01,1.75745E-02
-1.596256E-04,5.73704E-01,1.71346E-02
-1.596224E-04,5.69794E-01,1.62549E-02
-1.596192E-04,5.75659E-01,1.74767E-02
-1.596160E-04,5.81524E-01,1.70857E-02
-1.596128E-04,5.79569E-01,1.61571E-02
-1.596096E-04,5.75659E-01,1.73301E-02
-1.596064E-04,5.77614E-01,1.75745E-02
-1.596032E-04,5.73704E-01,1.64015E-02
-1.596000E-04,5.81524E-01,1.70369E-02
-1.595968E-04,5.79569E-01,1.75745E-02
-1.595936E-04,5.77614E-01,1.68414E-02
-1.595904E-04,5.77614E-01,1.71346E-02
-1.595872E-04,5.79569E-01,1.79166E-02
-1.595840E-04,5.81524E-01,1.73301E-02
-1.595808E-04,5.81524E-01,1.75745E-02
-1.595776E-04,5.75659E-01,1.77211E-02
-1.595744E-04,5.81524E-01,1.75745E-02
-1.595712E-04,5.77614E-01,1.77211E-02
-1.595680E-04,5.75659E-01,1.79166E-02
-1.595648E-04,5.79569E-01,1.76722E-02
-1.595616E-04,5.77614E-01,1.80144E-02
-1.595584E-04,5.83479E-01,1.78189E-02
-1.595552E-04,5.79569E-01,1.76234E-02
-1.595520E-04,5.81524E-01,1.78677E-02
-1.595488E-04,5.77614E-01,1.76234E-02
-1.595456E-04,5.77614E-01,1.73301E-02
-1.595424E-04,5.81524E-01,1.77211E-02
-1.595392E-04,5.81524E-01,1.76234E-02
-1.595360E-04,5.79569E-01,1.71835E-02
-1.595328E-04,5.77614E-01,1.76722E-02
-1.595296E-04,5.87389E-01,1.76234E-02
-1.595264E-04,5.85434E-01,1.71835E-02
-1.595232E-04,5.83479E-01,1.76234E-02
-1.595200E-04,5.81524E-01,1.74279E-02
-1.595168E-04,5.89344E-01,1.71835E-02
-1.595136E-04,5.85434E-01,1.77211E-02
-1.595104E-04,5.79569E-01,1.75745E-02
-1.595072E-04,5.85434E-01,1.71346E-02
-1.595040E-04,5.87389E-01,1.78677E-02
-1.595008E-04,5.85434E-01,1.76234E-02
-1.594976E-04,5.89344E-01,1.71835E-02
-1.594944E-04,5.85434E-01,1.77700E-02
-1.594912E-04,5.83479E-01,1.79166E-02
-1.594880E-04,5.87389E-01,1.70857E-02
-1.594848E-04,5.85434E-01,1.77211E-02
-1.594816E-04,5.87389E-01,1.78677E-02
-1.594784E-04,5.85434E-01,1.72812E-02
-1.594752E-04,5.85434E-01,1.78677E-02
-1.594720E-04,5.87389E-01,1.82099E-02
-1.594688E-04,5.89344E-01,1.73301E-02
-1.594656E-04,5.85434E-01,1.78189E-02
-1.594624E-04,5.89344E-01,1.82587E-02
-1.594592E-04,5.85434E-01,1.73790E-02
-1.594560E-04,5.85434E-01,1.78189E-02
-1.594528E-04,5.87389E-01,1.81121E-02
-1.594496E-04,5.95209E-01,1.77211E-02
-1.594464E-04,5.89344E-01,1.80632E-02
-1.594432E-04,5.85434E-01,1.82099E-02
-1.594400E-04,5.89344E-01,1.79655E-02
